emotion,kind,layer,I_final,I_final_normalized
disgust,mlp,2,-0.0002495095661812,-5.070043712180021e-06
disgust,mlp,3,0.0094504708759784,0.0001920339214853917
disgust,mlp,4,0.0130636445613531,0.0002654537458429261
disgust,mlp,5,0.0026655354995163,5.416378099547803e-05
disgust,mlp,6,0.0188602371795011,0.00038324072453683073
disgust,mlp,7,0.0749578299695963,0.001523145907119316
disgust,mlp,8,0.0485680023445063,0.000986903623250588
disgust,mlp,9,0.0394402946881192,0.0008014282624530999
disgust,mlp,10,0.0918863166783069,0.0018671333898753507
disgust,mlp,11,0.0724183178471167,0.0014715429258563364
disgust,mlp,12,0.3086735788217088,0.006272258660754417
disgust,mlp,13,0.5283218528164499,0.010735519799405464
disgust,mlp,14,0.8012419842818035,0.016281267073313076
disgust,mlp,15,0.9911231316736367,0.020139659086613082
disgust,mlp,16,1.248332989861555,0.02536617302022846
disgust,mlp,17,1.470985924627716,0.029890488978077535
disgust,mlp,18,1.7611983430815248,0.03578761617002548
disgust,mlp,19,1.9474910055158872,0.0395730900348419
disgust,mlp,20,2.0524931059532667,0.04170673664100695
disgust,mlp,21,2.1783469657024503,0.04426409177588599
disgust,mlp,22,2.256195572579339,0.04584597837782696
disgust,mlp,23,2.180891444334349,0.044315795676806026
disgust,mlp,24,2.084477546906821,0.04235666167685264
disgust,mlp,25,1.941578181220745,0.0394529412241264
disgust,mlp,26,1.6304564597764064,0.033130936213761605
disgust,mlp,27,1.3710887155465712,0.02786057395510655
fear,attention,0,0.0032655506172078,5.608935733932563e-05
fear,attention,1,-0.0226256063284855,-0.000388619215298654
fear,attention,2,0.0505278757510561,0.0008678708159242379
fear,attention,3,0.0399465221577269,0.0006861246443283829
fear,attention,4,0.0662823236556961,0.0011384704671900056
fear,attention,5,-0.0306810116535246,-0.0005269794983726166
fear,attention,6,0.1179084343068205,0.0020252046531774276
fear,attention,7,0.141762129357549,0.0024349176181253157
fear,attention,8,0.1362250116529358,0.0023398116436757414
fear,attention,9,0.3143874826675759,0.005399944427574187
fear,attention,10,0.4016462072244255,0.006898707226366071
fear,attention,11,0.3842051602681025,0.0065991384155351385
fear,attention,12,0.5595577290536915,0.009611008095078897
fear,attention,13,0.6742032178237307,0.01158016813598577
fear,attention,14,0.9354804281879082,0.016067886298893656
fear,attention,15,1.294374426621633,0.022232278183990442
fear,attention,16,1.3861659041073513,0.023808895907896175
fear,attention,17,1.590262431548746,0.02731447410933411
fear,attention,18,1.762165006281805,0.030267086416411734
fear,attention,19,1.9917647801782044,0.03421071040902187
